,file,age,gender,race,service_test,MCSBW
8315,val/8316.jpg,0-2,Male,Latino_Hispanic,True,0.1952
4187,val/4188.jpg,0-2,Female,Black,False,0.1951
9808,val/9809.jpg,0-2,Male,East Asian,False,0.2181
5290,val/5291.jpg,0-2,Female,Latino_Hispanic,False,0.1943
255,val/256.jpg,0-2,Male,Southeast Asian,False,0.1974
2788,val/2789.jpg,0-2,Female,Black,True,0.2094
333,val/334.jpg,0-2,Female,White,False,0.2021
4611,val/4612.jpg,0-2,Female,Indian,False,0.2046
8100,val/8101.jpg,0-2,Female,Southeast Asian,False,0.2068
4529,val/4530.jpg,0-2,Female,East Asian,False,0.1967
8148,val/8149.jpg,0-2,Male,White,False,0.1989
2700,val/2701.jpg,0-2,Male,Southeast Asian,False,0.2021
10247,val/10248.jpg,0-2,Female,Latino_Hispanic,False,0.2009
10855,val/10856.jpg,0-2,Male,White,False,0.1984
4441,val/4442.jpg,0-2,Male,East Asian,False,0.2158
4433,val/4434.jpg,0-2,Male,White,False,0.2035
4428,val/4429.jpg,0-2,Male,Black,False,0.198
8176,val/8177.jpg,0-2,Female,White,False,0.2207
2763,val/2764.jpg,0-2,Female,Latino_Hispanic,False,0.2147
8199,val/8200.jpg,0-2,Male,Southeast Asian,False,0.1986
8212,val/8213.jpg,0-2,Female,Southeast Asian,True,0.2024
8775,val/8776.jpg,0-2,Female,Southeast Asian,True,0.2057
262,val/263.jpg,0-2,Male,East Asian,False,0.2185
257,val/258.jpg,0-2,Female,Indian,False,0.1958
5328,val/5329.jpg,0-2,Female,Indian,False,0.2059
543,val/544.jpg,0-2,Male,Middle Eastern,False,0.2042
5342,val/5343.jpg,0-2,Male,White,False,0.219
1361,val/1362.jpg,0-2,Male,White,False,0.2086
7250,val/7251.jpg,0-2,Male,Black,False,0.1958
9270,val/9271.jpg,0-2,Female,Indian,False,0.1976
6333,val/6334.jpg,0-2,Male,Southeast Asian,False,0.1993
6326,val/6327.jpg,0-2,Male,Black,True,0.2035
10711,val/10712.jpg,0-2,Female,Black,True,0.1923
836,val/837.jpg,0-2,Male,East Asian,False,0.2003
9288,val/9289.jpg,0-2,Male,Southeast Asian,False,0.1942
10713,val/10714.jpg,0-2,Male,White,False,0.2096
6277,val/6278.jpg,0-2,Male,East Asian,False,0.2173
9020,val/9021.jpg,0-2,Female,East Asian,False,0.1991
6262,val/6263.jpg,0-2,Female,Latino_Hispanic,False,0.2007
10549,val/10550.jpg,0-2,Male,Indian,True,0.198
7372,val/7373.jpg,0-2,Male,Latino_Hispanic,False,0.1985
794,val/795.jpg,0-2,Male,White,False,0.1979
9317,val/9318.jpg,0-2,Female,Black,False,0.1924
6107,val/6108.jpg,0-2,Female,Middle Eastern,True,0.2031
896,val/897.jpg,0-2,Female,East Asian,False,0.2028
6093,val/6094.jpg,0-2,Male,East Asian,True,0.2076
6551,val/6552.jpg,0-2,Female,East Asian,False,0.1992
6599,val/6600.jpg,0-2,Male,Indian,False,0.1993
6976,val/6977.jpg,0-2,Male,East Asian,False,0.2156
1017,val/1018.jpg,0-2,Male,East Asian,False,0.206
10651,val/10652.jpg,0-2,Male,White,False,0.1912
1131,val/1132.jpg,0-2,Female,Southeast Asian,True,0.2056
7102,val/7103.jpg,0-2,Male,Middle Eastern,False,0.2078
6807,val/6808.jpg,0-2,Female,Latino_Hispanic,False,0.2009
7115,val/7116.jpg,0-2,Male,White,False,0.2069
6796,val/6797.jpg,0-2,Female,East Asian,False,0.2079
6786,val/6787.jpg,0-2,Male,Latino_Hispanic,False,0.2102
1199,val/1200.jpg,0-2,Male,Southeast Asian,True,0.2048
6755,val/6756.jpg,0-2,Male,Southeast Asian,False,0.1998
9077,val/9078.jpg,0-2,Male,Indian,True,0.1953
9074,val/9075.jpg,0-2,Female,Indian,False,0.1941
10615,val/10616.jpg,0-2,Male,Middle Eastern,False,0.2084
1264,val/1265.jpg,0-2,Female,East Asian,False,0.2108
6617,val/6618.jpg,0-2,Female,White,True,0.199
1309,val/1310.jpg,0-2,Male,White,False,0.2015
6564,val/6565.jpg,0-2,Female,White,False,0.2041
8342,val/8343.jpg,0-2,Male,East Asian,False,0.2035
6065,val/6066.jpg,0-2,Male,East Asian,False,0.203
1727,val/1728.jpg,0-2,Male,Black,False,0.2006
1985,val/1986.jpg,0-2,Female,White,False,0.2062
5568,val/5569.jpg,0-2,Male,Middle Eastern,False,0.1926
2022,val/2023.jpg,0-2,Female,Middle Eastern,True,0.1947
2026,val/2027.jpg,0-2,Male,Black,False,0.1976
5500,val/5501.jpg,0-2,Male,East Asian,True,0.2112
596,val/597.jpg,0-2,Female,East Asian,False,0.2134
2059,val/2060.jpg,0-2,Male,Black,False,0.1957
7706,val/7707.jpg,0-2,Male,White,False,0.1915
9514,val/9515.jpg,0-2,Male,Latino_Hispanic,False,0.2181
10773,val/10774.jpg,0-2,Female,East Asian,False,0.2079
7726,val/7727.jpg,0-2,Male,Black,False,0.1982
2103,val/2104.jpg,0-2,Female,White,False,0.1919
8908,val/8909.jpg,0-2,Female,East Asian,True,0.2095
10782,val/10783.jpg,0-2,Male,Southeast Asian,False,0.2128
5359,val/5360.jpg,0-2,Female,White,False,0.2046
2145,val/2146.jpg,0-2,Male,White,False,0.1959
2146,val/2147.jpg,0-2,Male,Indian,False,0.2079
633,val/634.jpg,0-2,Female,White,False,0.1926
1686,val/1687.jpg,0-2,Male,East Asian,False,0.2122
5634,val/5635.jpg,0-2,Male,White,False,0.2065
9476,val/9477.jpg,0-2,Male,White,False,0.2043
7479,val/7480.jpg,0-2,Female,Indian,False,0.1981
5971,val/5972.jpg,0-2,Female,Southeast Asian,False,0.201
5954,val/5955.jpg,0-2,Female,White,False,0.1992
5840,val/5841.jpg,0-2,Male,White,True,0.1862
5835,val/5836.jpg,0-2,Female,Indian,False,0.1957
5829,val/5830.jpg,0-2,Male,Latino_Hispanic,False,0.204
7558,val/7559.jpg,0-2,Male,East Asian,False,0.1989
9427,val/9428.jpg,0-2,Male,Black,False,0.2122
8964,val/8965.jpg,0-2,Female,Southeast Asian,False,0.2014
7562,val/7563.jpg,0-2,Male,East Asian,False,0.2119
1870,val/1871.jpg,0-2,Male,Southeast Asian,True,0.1962
1915,val/1916.jpg,0-2,Male,Black,False,0.1855
10753,val/10754.jpg,0-2,Male,Black,False,0.2164
5664,val/5665.jpg,0-2,Male,White,False,0.2018
5653,val/5654.jpg,0-2,Male,East Asian,False,0.2185
5644,val/5645.jpg,0-2,Female,East Asian,False,0.2108
8943,val/8944.jpg,0-2,Male,White,False,0.195
5635,val/5636.jpg,0-2,Male,Black,False,0.1984
8347,val/8348.jpg,0-2,Male,East Asian,False,0.1998
1035,val/1036.jpg,0-2,Male,Latino_Hispanic,True,0.2091
9952,val/9953.jpg,0-2,Male,White,False,0.1997
3957,val/3958.jpg,0-2,Female,Southeast Asian,False,0.2074
163,val/164.jpg,0-2,Male,Middle Eastern,False,0.2046
10922,val/10923.jpg,0-2,Male,East Asian,False,0.2003
8606,val/8607.jpg,0-2,Male,Southeast Asian,False,0.1901
3430,val/3431.jpg,0-2,Female,East Asian,True,0.2136
9918,val/9919.jpg,0-2,Female,East Asian,False,0.1869
8473,val/8474.jpg,0-2,Male,Latino_Hispanic,False,0.2092
3705,val/3706.jpg,0-2,Male,White,False,0.2043
3760,val/3761.jpg,0-2,Female,East Asian,False,0.2001
3279,val/3280.jpg,0-2,Male,White,True,0.2122
3886,val/3887.jpg,0-2,Female,White,False,0.2103
8389,val/8390.jpg,0-2,Male,White,False,0.2155
8737,val/8738.jpg,0-2,Male,Black,False,0.1948
3808,val/3809.jpg,0-2,Female,Southeast Asian,False,0.1931
8381,val/8382.jpg,0-2,Male,Southeast Asian,True,0.211
3443,val/3444.jpg,0-2,Female,East Asian,False,0.2103
10073,val/10074.jpg,0-2,Female,White,False,0.1962
3726,val/3727.jpg,0-2,Male,East Asian,False,0.2004
10086,val/10087.jpg,0-2,Male,East Asian,False,0.2069
3320,val/3321.jpg,0-2,Male,East Asian,False,0.2
151,val/152.jpg,0-2,Male,Black,True,0.2029
3493,val/3494.jpg,0-2,Male,Indian,True,0.2092
10163,val/10164.jpg,0-2,Female,Southeast Asian,False,0.1984
3036,val/3037.jpg,0-2,Female,East Asian,False,0.21
44,val/45.jpg,0-2,Male,White,False,0.2208
9978,val/9979.jpg,0-2,Female,Southeast Asian,False,0.1951
3312,val/3313.jpg,0-2,Female,Black,False,0.2163
8588,val/8589.jpg,0-2,Male,East Asian,False,0.2177
3295,val/3296.jpg,0-2,Male,Middle Eastern,False,0.1963
3743,val/3744.jpg,0-2,Male,White,True,0.1959
10064,val/10065.jpg,0-2,Female,East Asian,True,0.1976
5979,val/5980.jpg,10-19,Male,Black,False,0.2244
10490,val/10491.jpg,10-19,Female,White,False,0.2152
1759,val/1760.jpg,10-19,Male,Southeast Asian,True,0.2119
9352,val/9353.jpg,10-19,Female,East Asian,False,0.2109
1679,val/1680.jpg,10-19,Female,White,False,0.2109
1677,val/1678.jpg,10-19,Male,Indian,True,0.2142
1675,val/1676.jpg,10-19,Male,White,True,0.2058
9391,val/9392.jpg,10-19,Female,Black,True,0.2051
9349,val/9350.jpg,10-19,Female,Middle Eastern,True,0.2291
6064,val/6065.jpg,10-19,Male,Black,True,0.2201
3282,val/3283.jpg,10-19,Male,Indian,True,0.2267
6066,val/6067.jpg,10-19,Female,White,False,0.2113
6071,val/6072.jpg,10-19,Female,Indian,False,0.2051
6074,val/6075.jpg,10-19,Male,Southeast Asian,False,0.2095
5928,val/5929.jpg,10-19,Male,Black,False,0.189
1683,val/1684.jpg,10-19,Male,East Asian,True,0.213
1689,val/1690.jpg,10-19,Female,Latino_Hispanic,False,0.217
5944,val/5945.jpg,10-19,Female,Black,True,0.2001
3554,val/3555.jpg,10-19,Male,Black,False,0.2139
1728,val/1729.jpg,10-19,Female,Latino_Hispanic,True,0.2238
3278,val/3279.jpg,10-19,Male,Black,True,0.206
10499,val/10500.jpg,10-19,Male,Latino_Hispanic,True,0.2203
1725,val/1726.jpg,10-19,Female,White,False,0.2231
1731,val/1732.jpg,10-19,Male,Middle Eastern,True,0.1971
5988,val/5989.jpg,10-19,Female,Latino_Hispanic,False,0.203
9377,val/9378.jpg,10-19,Male,White,True,0.2115
6053,val/6054.jpg,10-19,Male,Southeast Asian,True,0.2251
1715,val/1716.jpg,10-19,Female,Latino_Hispanic,False,0.213
5998,val/5999.jpg,10-19,Female,East Asian,True,0.217
6003,val/6004.jpg,10-19,Female,White,False,0.2344
6009,val/6010.jpg,10-19,Male,White,True,0.2302
6012,val/6013.jpg,10-19,Male,Indian,False,0.2148
1702,val/1703.jpg,10-19,Female,Southeast Asian,False,0.2031
3274,val/3275.jpg,10-19,Male,East Asian,True,0.2219
3393,val/3394.jpg,10-19,Female,Black,True,0.2206
1691,val/1692.jpg,10-19,Male,White,False,0.2177
1735,val/1736.jpg,10-19,Female,Latino_Hispanic,True,0.2072
9887,val/9888.jpg,10-19,Female,Southeast Asian,False,0.2028
1647,val/1648.jpg,10-19,Male,Latino_Hispanic,False,0.2067
6078,val/6079.jpg,10-19,Female,Middle Eastern,True,0.2214
6161,val/6162.jpg,10-19,Female,East Asian,False,0.1962
1598,val/1599.jpg,10-19,Female,Latino_Hispanic,False,0.2235
1596,val/1597.jpg,10-19,Male,Latino_Hispanic,True,0.2202
1589,val/1590.jpg,10-19,Female,Middle Eastern,True,0.2057
1586,val/1587.jpg,10-19,Male,Black,True,0.2167
6175,val/6176.jpg,10-19,Female,Indian,False,0.207
3527,val/3528.jpg,10-19,Male,Southeast Asian,True,0.2306
6177,val/6178.jpg,10-19,Female,Black,False,0.1934
6187,val/6188.jpg,10-19,Female,Indian,True,0.1965
6188,val/6189.jpg,10-19,Female,East Asian,False,0.2046
9316,val/9317.jpg,10-19,Male,Southeast Asian,False,0.2114
1574,val/1575.jpg,10-19,Male,Southeast Asian,True,0.234
9309,val/9310.jpg,10-19,Female,East Asian,True,0.2025
9307,val/9308.jpg,10-19,Female,White,True,0.2106
6200,val/6201.jpg,10-19,Female,Southeast Asian,True,0.208
1567,val/1568.jpg,10-19,Female,Black,True,0.2269
6204,val/6205.jpg,10-19,Female,White,False,0.2148
6209,val/6210.jpg,10-19,Female,Indian,False,0.2216
10541,val/10542.jpg,10-19,Female,Latino_Hispanic,False,0.2148
6212,val/6213.jpg,10-19,Female,Latino_Hispanic,False,0.2144
10544,val/10545.jpg,10-19,Female,White,True,0.2096
1557,val/1558.jpg,10-19,Female,Latino_Hispanic,True,0.2288
1573,val/1574.jpg,10-19,Female,White,True,0.2186
3290,val/3291.jpg,10-19,Female,Latino_Hispanic,True,0.2041
9318,val/9319.jpg,10-19,Female,Indian,True,0.2136
1607,val/1608.jpg,10-19,Male,Latino_Hispanic,True,0.2257
6079,val/6080.jpg,10-19,Male,East Asian,False,0.214
1660,val/1661.jpg,10-19,Male,Latino_Hispanic,False,0.2008
3285,val/3286.jpg,10-19,Female,Latino_Hispanic,True,0.2129
1650,val/1651.jpg,10-19,Female,Black,False,0.1978
1648,val/1649.jpg,10-19,Male,East Asian,False,0.2242
9336,val/9337.jpg,10-19,Male,Black,False,0.1979
6100,val/6101.jpg,10-19,Male,Southeast Asian,True,0.2197
1643,val/1644.jpg,10-19,Female,East Asian,True,0.22
6102,val/6103.jpg,10-19,Female,Black,True,0.2064
10517,val/10518.jpg,10-19,Female,White,True,0.227
10099,val/10100.jpg,10-19,Female,White,True,0.2051
1638,val/1639.jpg,10-19,Male,White,False,0.2206
6114,val/6115.jpg,10-19,Male,Latino_Hispanic,True,0.1978
10520,val/10521.jpg,10-19,Male,Black,False,0.1987
1628,val/1629.jpg,10-19,Male,Latino_Hispanic,True,0.2162
10521,val/10522.jpg,10-19,Female,Indian,False,0.2059
6122,val/6123.jpg,10-19,Female,Latino_Hispanic,False,0.2174
1622,val/1623.jpg,10-19,Female,Indian,True,0.1989
6130,val/6131.jpg,10-19,Female,White,True,0.2238
6142,val/6143.jpg,10-19,Female,Southeast Asian,False,0.2223
6143,val/6144.jpg,10-19,Female,Southeast Asian,True,0.2094
9320,val/9321.jpg,10-19,Female,East Asian,True,0.2236
9319,val/9320.jpg,10-19,Male,White,True,0.2168
9343,val/9344.jpg,10-19,Female,East Asian,True,0.2145
1768,val/1769.jpg,10-19,Male,East Asian,True,0.2078
1792,val/1793.jpg,10-19,Female,Latino_Hispanic,True,0.1926
5903,val/5904.jpg,10-19,Male,Southeast Asian,True,0.2054
3615,val/3616.jpg,10-19,Male,Southeast Asian,False,0.2186
1960,val/1961.jpg,10-19,Female,East Asian,True,0.2028
3612,val/3613.jpg,10-19,Female,Indian,False,0.2009
5637,val/5638.jpg,10-19,Female,White,True,0.2203
3237,val/3238.jpg,10-19,Male,Indian,False,0.2224
3243,val/3244.jpg,10-19,Female,Southeast Asian,False,0.217
3591,val/3592.jpg,10-19,Male,Southeast Asian,True,0.209
5665,val/5666.jpg,10-19,Male,Black,False,0.2103
5666,val/5667.jpg,10-19,Female,Latino_Hispanic,False,0.2203
9466,val/9467.jpg,10-19,Male,Black,False,0.2072
1941,val/1942.jpg,10-19,Female,White,False,0.2286
3588,val/3589.jpg,10-19,Male,Middle Eastern,True,0.2217
9463,val/9464.jpg,10-19,Female,White,False,0.2228
9460,val/9461.jpg,10-19,Female,Latino_Hispanic,False,0.2095
9457,val/9458.jpg,10-19,Female,Middle Eastern,True,0.2222
5693,val/5694.jpg,10-19,Female,Indian,True,0.2002
5696,val/5697.jpg,10-19,Male,Black,True,0.1935
1920,val/1921.jpg,10-19,Male,Latino_Hispanic,True,0.2228
1918,val/1919.jpg,10-19,Male,Latino_Hispanic,False,0.2146
3253,val/3254.jpg,10-19,Female,Middle Eastern,True,0.224
1914,val/1915.jpg,10-19,Female,Middle Eastern,True,0.212
1913,val/1914.jpg,10-19,Male,White,False,0.1979
1912,val/1913.jpg,10-19,Male,East Asian,True,0.2194
1962,val/1963.jpg,10-19,Male,Southeast Asian,False,0.227
5704,val/5705.jpg,10-19,Female,Latino_Hispanic,True,0.2153
10437,val/10438.jpg,10-19,Female,Indian,False,0.2148
10002,val/10003.jpg,10-19,Male,Indian,True,0.2013
10111,val/10112.jpg,10-19,Male,Indian,True,0.1973
5534,val/5535.jpg,10-19,Male,Black,True,0.1982
10001,val/10002.jpg,10-19,Male,East Asian,False,0.2268
5546,val/5547.jpg,10-19,Female,Southeast Asian,True,0.1901
5553,val/5554.jpg,10-19,Female,Latino_Hispanic,False,0.2185
2013,val/2014.jpg,10-19,Female,Middle Eastern,True,0.2239
5555,val/5556.jpg,10-19,Female,Indian,True,0.2004
5557,val/5558.jpg,10-19,Female,Latino_Hispanic,True,0.2251
5563,val/5564.jpg,10-19,Male,Southeast Asian,False,0.2175
3628,val/3629.jpg,10-19,Female,White,False,0.2129
5570,val/5571.jpg,10-19,Female,Latino_Hispanic,False,0.209
2002,val/2003.jpg,10-19,Male,White,True,0.2198
2000,val/2001.jpg,10-19,Male,Indian,True,0.209
9489,val/9490.jpg,10-19,Male,Latino_Hispanic,False,0.2251
5582,val/5583.jpg,10-19,Male,Southeast Asian,True,0.2169
5583,val/5584.jpg,10-19,Male,East Asian,False,0.228
1990,val/1991.jpg,10-19,Female,Black,True,0.2067
3627,val/3628.jpg,10-19,Male,Black,True,0.2153
5607,val/5608.jpg,10-19,Male,White,True,0.2014
1979,val/1980.jpg,10-19,Male,Southeast Asian,False,0.2328
5628,val/5629.jpg,10-19,Male,Latino_Hispanic,False,0.2152
3623,val/3624.jpg,10-19,Female,Black,True,0.2057
10434,val/10435.jpg,10-19,Female,Indian,False,0.2035
3232,val/3233.jpg,10-19,Male,White,True,0.2114
5904,val/5905.jpg,10-19,Female,Indian,False,0.2252
1909,val/1910.jpg,10-19,Female,Southeast Asian,True,0.211
9452,val/9453.jpg,10-19,Male,Indian,False,0.2186
5812,val/5813.jpg,10-19,Female,Indian,False,0.2103
5815,val/5816.jpg,10-19,Female,Indian,False,0.2003
5816,val/5817.jpg,10-19,Male,Latino_Hispanic,True,0.2001
5817,val/5818.jpg,10-19,Male,Black,True,0.2166
5819,val/5820.jpg,10-19,Female,Southeast Asian,False,0.2056
1832,val/1833.jpg,10-19,Male,White,True,0.2244
1830,val/1831.jpg,10-19,Female,Black,False,0.2261
5827,val/5828.jpg,10-19,Male,Latino_Hispanic,False,0.1951
5828,val/5829.jpg,10-19,Female,Indian,False,0.2256
3577,val/3578.jpg,10-19,Male,Black,False,0.2177
3568,val/3569.jpg,10-19,Male,Southeast Asian,False,0.215
3270,val/3271.jpg,10-19,Male,White,True,0.217
10472,val/10473.jpg,10-19,Female,Latino_Hispanic,True,0.2191
1818,val/1819.jpg,10-19,Female,Black,False,0.203
1808,val/1809.jpg,10-19,Male,White,True,0.219
1805,val/1806.jpg,10-19,Female,Southeast Asian,True,0.1991
5863,val/5864.jpg,10-19,Male,White,False,0.2172
5870,val/5871.jpg,10-19,Female,White,True,0.2194
1796,val/1797.jpg,10-19,Female,Southeast Asian,False,0.1947
5877,val/5878.jpg,10-19,Male,Middle Eastern,True,0.2206
6220,val/6221.jpg,10-19,Female,Indian,True,0.21
5890,val/5891.jpg,10-19,Female,White,True,0.2268
1785,val/1786.jpg,10-19,Male,Black,True,0.1976
5802,val/5803.jpg,10-19,Male,East Asian,True,0.2219
5708,val/5709.jpg,10-19,Female,Black,False,0.1945
10013,val/10014.jpg,10-19,Female,Southeast Asian,True,0.2058
10100,val/10101.jpg,10-19,Male,East Asian,True,0.2268
9450,val/9451.jpg,10-19,Male,Latino_Hispanic,False,0.2184
5720,val/5721.jpg,10-19,Male,Black,True,0.2225
1900,val/1901.jpg,10-19,Female,Southeast Asian,False,0.208
5724,val/5725.jpg,10-19,Female,Latino_Hispanic,True,0.2001
1897,val/1898.jpg,10-19,Female,Black,False,0.1989
9444,val/9445.jpg,10-19,Male,Southeast Asian,True,0.2266
9442,val/9443.jpg,10-19,Female,Southeast Asian,False,0.2347
5747,val/5748.jpg,10-19,Female,Indian,True,0.2107
1885,val/1886.jpg,10-19,Female,Latino_Hispanic,False,0.2341
5753,val/5754.jpg,10-19,Male,Middle Eastern,True,0.2112
1881,val/1882.jpg,10-19,Female,White,False,0.2217
1877,val/1878.jpg,10-19,Female,Black,False,0.2045
1876,val/1877.jpg,10-19,Female,White,True,0.2295
1874,val/1875.jpg,10-19,Female,Latino_Hispanic,True,0.2076
5763,val/5764.jpg,10-19,Female,White,False,0.2164
3581,val/3582.jpg,10-19,Male,Black,True,0.2148
1867,val/1868.jpg,10-19,Male,East Asian,True,0.1967
5772,val/5773.jpg,10-19,Female,Southeast Asian,True,0.2238
1864,val/1865.jpg,10-19,Male,Black,True,0.1937
1856,val/1857.jpg,10-19,Female,White,True,0.2029
1849,val/1850.jpg,10-19,Female,East Asian,False,0.2069
3259,val/3260.jpg,10-19,Female,Black,False,0.1946
3579,val/3580.jpg,10-19,Female,Indian,True,0.1943
9424,val/9425.jpg,10-19,Female,Southeast Asian,True,0.1914
1555,val/1556.jpg,10-19,Male,Black,True,0.2141
6259,val/6260.jpg,10-19,Female,Latino_Hispanic,False,0.2015
1543,val/1544.jpg,10-19,Male,Black,False,0.208
10616,val/10617.jpg,10-19,Female,Southeast Asian,False,0.2095
6742,val/6743.jpg,10-19,Female,East Asian,False,0.2217
9185,val/9186.jpg,10-19,Female,Indian,False,0.2115
10617,val/10618.jpg,10-19,Male,East Asian,True,0.2119
3445,val/3446.jpg,10-19,Female,Indian,False,0.207
6750,val/6751.jpg,10-19,Male,Middle Eastern,True,0.2306
3359,val/3360.jpg,10-19,Female,Black,False,0.1993
6768,val/6769.jpg,10-19,Female,White,True,0.215
1207,val/1208.jpg,10-19,Male,Southeast Asian,True,0.2294
9177,val/9178.jpg,10-19,Male,Southeast Asian,True,0.2185
3351,val/3352.jpg,10-19,Female,White,True,0.236
6772,val/6773.jpg,10-19,Female,East Asian,False,0.218
1190,val/1191.jpg,10-19,Female,East Asian,True,0.2086
1189,val/1190.jpg,10-19,Female,Black,True,0.2131
6795,val/6796.jpg,10-19,Male,Latino_Hispanic,True,0.2172
3366,val/3367.jpg,10-19,Male,Southeast Asian,True,0.2234
6802,val/6803.jpg,10-19,Male,Indian,True,0.192
6803,val/6804.jpg,10-19,Female,East Asian,False,0.2036
1178,val/1179.jpg,10-19,Female,Black,True,0.1952
1176,val/1177.jpg,10-19,Male,Middle Eastern,False,0.2114
3422,val/3423.jpg,10-19,Female,Middle Eastern,True,0.2047
6809,val/6810.jpg,10-19,Female,Southeast Asian,False,0.2101
3360,val/3361.jpg,10-19,Male,Indian,True,0.2206
9192,val/9193.jpg,10-19,Female,Black,False,0.2018
10614,val/10615.jpg,10-19,Female,Black,True,0.2081
6730,val/6731.jpg,10-19,Female,Southeast Asian,False,0.1924
6639,val/6640.jpg,10-19,Male,Black,True,0.2229
6640,val/6641.jpg,10-19,Female,Indian,False,0.2198
6655,val/6656.jpg,10-19,Female,Latino_Hispanic,False,0.2179
6656,val/6657.jpg,10-19,Male,Latino_Hispanic,True,0.2223
6659,val/6660.jpg,10-19,Male,Middle Eastern,True,0.2285
1275,val/1276.jpg,10-19,Female,East Asian,True,0.2255
1267,val/1268.jpg,10-19,Female,Black,True,0.2131
6669,val/6670.jpg,10-19,Female,White,True,0.2255
10038,val/10039.jpg,10-19,Male,Middle Eastern,True,0.2186
6675,val/6676.jpg,10-19,Female,East Asian,True,0.2124
1260,val/1261.jpg,10-19,Male,Southeast Asian,True,0.2095
6686,val/6687.jpg,10-19,Female,Black,False,0.2156
6687,val/6688.jpg,10-19,Female,White,True,0.2162
6688,val/6689.jpg,10-19,Male,Black,False,0.2067
6690,val/6691.jpg,10-19,Male,Southeast Asian,False,0.2213
6701,val/6702.jpg,10-19,Male,Middle Eastern,True,0.2185
1247,val/1248.jpg,10-19,Female,White,False,0.2147
6704,val/6705.jpg,10-19,Male,Southeast Asian,False,0.2166
9195,val/9196.jpg,10-19,Male,Black,False,0.216
10611,val/10612.jpg,10-19,Female,White,True,0.2148
9193,val/9194.jpg,10-19,Female,Southeast Asian,True,0.1921
6725,val/6726.jpg,10-19,Male,White,False,0.2219
